nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-guid,GEMMA-type,datum-tijd-export,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-url,GEMMA-alternate-name,GGM-toelichting
65,Mutatie,Wijziging van een situatie,Class,,{CB0A6B53-D263-459e-8C28-AD97E5552FFF},,Financien,,,id-cb0a6b53-d263-459e-8c28-ad97e5552fff,Business object,21022024-11:03:02,,,,,,,,"Dit kan naast getoonde mutaties nog diverse andere soorten mutaties betreffen, die handmatig worden ingevoerd, of via batches of facturen lopen: * Verkoop tot ontvangst * Inkoop tot betaling * BTW-compensatie * Vaste activa * Urenadministratie uit TIM"
66,Opdrachtgever,Persoon die een opdracht verstrekt. ,Class,,{C2520FC3-622B-4edf-B911-C661B0D710FE},,Financien,,,id-c2520fc3-622b-4edf-b911-c661b0d710fe,Business object,21022024-11:03:02,,,,,,,,
67,Opdrachtnemer,Partij die een opdracht aanvaardt. ,Class,,{9ABE303F-1E8D-407c-BBB8-E7DAC383E0C3},,Financien,,,id-9abe303f-1e8d-407c-bbb8-e7dac383e0c3,Business object,21022024-11:03:02,,,,,,,,
68,Product,Het resultaat van een proces dat in het economisch verkeer een waarde bezit.,Class,,{04439F81-75DB-45cf-BE7A-352A54A95D73},,Financien,,,id-04439f81-75db-45cf-be7a-352a54a95d73,Data object,21022024-11:03:02,,,,,,,,
69,Subrekening,Ondergeschikte rekening van een hoofdrekening,Class,,{1EC60172-CB6B-40c9-9818-C7A708C8540E},,Financien,,,id-1ec60172-cb6b-40c9-9818-c7a708c8540e,Data object,21022024-11:03:02,,,,,,,,
70,Taakveld,Een samenhangend geheel van activiteiten en taken en hangt onder een programma.,Class,,{E81C0FA0-2203-489a-98E9-32F1CB200E75},,Financien,,,id-e81c0fa0-2203-489a-98e9-32f1cb200e75,Data object,21022024-11:03:02,,,,,,,,Een taakveld kan verbonden zijn aan een strategische opgave. Dat betekent dat het budget voor de activiteiten die nodig zijn om de opgave uit te voeren daar te vinden zijn.
71,Werkorder,Opdracht voor de uitvoering van een activiteit of een stap in een proces.,Class,,{4AF7FA48-DFB0-474f-B797-A13D5FD37530},,Financien,,,id-4af7fa48-dfb0-474f-b797-a13d5fd37530,Business object,21022024-11:03:02,,,,,,,,
72,Anciennteit,,Class,,{719D0E34-8AAF-443e-88D7-D52628955B97},,HR,,,,,21022024-11:03:02,,,,,,,,
73,Fomatieplaats,,Class,,{71C1D65D-651E-44b7-9A07-0C5AA24F3999},,HR,,,,,21022024-11:03:02,,,,,,,,
74,Formatieplaats,,Class,,{13CBEB91-6AC7-4aa0-A3B9-6A60D427FB94},,HR,,,,,21022024-11:03:02,,,,,,,,
75,Normprofiel,Normprofiel,Class,,{972D5AD1-E86D-4f10-877F-CA55C24247BE},,HR,,,,,21022024-11:03:02,,,,,,,,
76,OrgModelEenheid,,Class,,{40377CF8-3EC4-4123-9F4F-9F8195456FDA},,HR,,,,,21022024-11:03:02,,,,,,,,
77,Schaal,,Class,,{F6ABB6C0-3DCF-431c-8340-83291E25329E},,HR,,,,,21022024-11:03:02,,,,,,,,
78,Aanstelling,De rechtsbetrekking tussen werkgever en werknemer zoals vastgelegd in een arbeidsovereenkomst.,Class,Dienstverband,{F95E3068-5FAA-47a4-995F-5B9ADF2FA2C7},,HR,,,id-f95e3068-5faa-47a4-995f-5b9adf2fa2c7,Business object,21022024-11:03:02,,,,,,,,
79,Beoordeling,Beoordeling is het oordeel van de professional over het functioneren van een leerling,Class,,{2A0CC803-9017-4fad-99B5-9347623090F5},,HR,,,id-2a0cc803-9017-4fad-99b5-9347623090f5,Business object,21022024-11:03:02,,,,,,,,
80,Declaratie,Een opgave van te vergoeden kosten.,Class,,{E611CEB2-F4FA-49e2-AA6B-B380BC1918AC},,HR,,,id-e611ceb2-f4fa-49e2-aa6b-b380bc1918ac,Data object,21022024-11:03:02,,,,,,,,
